fr;vi;Class;Ranking
nom;tên;nom / danh từ;137
vivre;sống;verbe / động từ;138
entrer;đi vào;verbe / động từ;139
reprendre;để tiếp tục;verbe / động từ;140
porter;mang theo;verbe / động từ;141
pays;quốc gia;nom / danh từ;142
ciel;bầu trời;nom / danh từ;143
frère;anh trai;nom / danh từ;144
regard;cái nhìn thoáng qua;nom / danh từ;145
chercher;tìm kiếm;verbe / động từ;146
âme;linh hồn;nom / danh từ;147
côté;bên;nom / danh từ;148
mort;chết;nom / danh từ;149
enfin;Cuối cùng;adverbe / trạng từ;150
revenir;để quay lại;verbe / động từ;151
noir;đen;adjectif / tính từ;152
esprit;tinh thần;nom / danh từ;153
maintenant;hiện tại;adverbe / trạng từ;154
nouveau;mới;adjectif / tính từ;155
ville;thành phố;nom / danh từ;156
rue;Đường phố;nom / danh từ;157
appeler;gọi;verbe / động từ;158
soir;buổi tối;nom / danh từ;159
chambre;phòng ngủ;nom / danh từ;160
mourir;chết;verbe / động từ;161
pas;không;nom / danh từ;162
partir;rời khỏi;verbe / động từ;163
cinq;năm;nombre / con số;0
soleil;mặt trời;nom / danh từ;165
dernier;cuối cùng;adjectif / tính từ;166
jeter;ném;verbe / động từ;167
dix;mười;nombre / con số;0
roi;nhà vua;nom / danh từ;169
état;tình trạng;nom / danh từ;170
corps;thân hình;nom / danh từ;171
beaucoup;nhiều;adverbe / trạng từ;172
suivre;theo;verbe / động từ;173
bras;cánh tay;nom / danh từ;174
écrire;để viết;verbe / động từ;175
blanc;trắng;adjectif / tính từ;176
montrer;để hiển thị;verbe / động từ;177
tomber;rơi xuống;verbe / động từ;178
place;địa điểm;nom / danh từ;179
ouvrir;mở;verbe / động từ;180
parti;buổi tiệc;nom / danh từ;181
assez;đủ;adverbe / trạng từ;182
cher;Kính thưa;adjectif / tính từ;183
année;năm;nom / danh từ;184
loin;xa;adverbe / trạng từ;185
point;điểm;adverbe / trạng từ;186
visage;khuôn mặt;nom / danh từ;187
bruit;tiếng ồn;nom / danh từ;188
lettre;thư;nom / danh từ;189
franc;franc;nom / danh từ;190
fond;đáy;nom / danh từ;191
force;sức mạnh;nom / danh từ;192
effet;tác dụng;nom / danh từ;193
arrêter;Dừng lại;verbe / động từ;194
perdre;thua;verbe / động từ;195
commencer;để bắt đầu;verbe / động từ;196
paraître;xuất hiện;verbe / động từ;197
marcher;đi bộ;verbe / động từ;198
milieu;trung bình;nom / danh từ;199
saint;thánh;nom / danh từ;200
idée;ý tưởng;nom / danh từ;201
presque;hầu hết;adverbe / trạng từ;202
ailleurs;nơi khác;adverbe / trạng từ;203
travail;công việc;nom / danh từ;204
lumière;ánh sáng;nom / danh từ;205
long;dài;adjectif / tính từ;206
seulement;chỉ một;adverbe / trạng từ;207
mois;tháng;nom / danh từ;208
fils;con trai;nom / danh từ;209
neuf;chín;nombre / con số;0
lever;thang máy;verbe / động từ;211
raison;lý do;nom / danh từ;212
gouvernement;chính phủ;nom / danh từ;213
permettre;cho phép;verbe / động từ;214
pauvre;nghèo;adjectif / tính từ;215
asseoir;ngồi;verbe / động từ;216
point;điểm;nom / danh từ;217
plein;đầy;adjectif / tính từ;218
personne;người;nom / danh từ;219
vrai;đúng;adjectif / tính từ;220
peuple;mọi người;nom / danh từ;221
fait;LÀM;nom / danh từ;222
parole;từ;nom / danh từ;223
guerre;chiến tranh;nom / danh từ;224
toute;tất cả;adjectif / tính từ;225
écouter;Nghe;verbe / động từ;226
pensée;nghĩ;nom / danh từ;227
affaire;chuyện tình;nom / danh từ;228
matin;Buổi sáng;nom / danh từ;229
pierre;đá;nom / danh từ;230
monter;đi lên;verbe / động từ;231
bas;xuống;adjectif / tính từ;232
vent;gió;nom / danh từ;233
doute;nghi ngờ;nom / danh từ;234
front;trán;nom / danh từ;235
ombre;bóng tối;nom / danh từ;236
part;phần;nom / danh từ;237
maître;bậc thầy;nom / danh từ;238
aujourd'hui;Hôm nay;adverbe / trạng từ;239
besoin;nhu cầu;nom / danh từ;240
question;câu hỏi;nom / danh từ;241
apercevoir;để nhận thấy;verbe / động từ;242
recevoir;nhận được;verbe / động từ;243
mieux;tốt hơn;adverbe / trạng từ;244
peine;phạt;nom / danh từ;245
tour;tròn;nom / danh từ;246
servir;phục vụ;verbe / động từ;247
autour;xung quanh;adverbe / trạng từ;248
finir;hoàn thành;verbe / động từ;249
famille;gia đình;nom / danh từ;250
pourquoi;Tại sao;conjonction / liên hợp;251
souvent;thường;adverbe / trạng từ;252
rire;cười;verbe / động từ;253
dessus;bên trên;adverbe / trạng từ;254
madame;Bà;nom / danh từ;255
sorte;loại;nom / danh từ;256
figure;nhân vật;nom / danh từ;257
droit;Phải;nom / danh từ;258
peur;nỗi sợ;nom / danh từ;259
bout;kết thúc;nom / danh từ;260
lieu;địa điểm;nom / danh từ;261
silence;im lặng;nom / danh từ;262
gros;mập;adjectif / tính từ;263
chef;trưởng;nom / danh từ;264
six;sáu;nombre / con số;0
bois;uống;nom / danh từ;266
mari;chồng;nom / danh từ;267
histoire;lịch sử;nom / danh từ;268
crier;hét lên;verbe / động từ;269
jouer;chơi;verbe / động từ;270
feu;ngọn lửa;nom / danh từ;271
tourner;xoay;verbe / động từ;272
doux;mềm mại;adjectif / tính từ;273
longtemps;một thời gian dài;adverbe / trạng từ;274
fort;mạnh;adverbe / trạng từ;275
heureux;vui mừng;adjectif / tính từ;276
comme;như;adverbe / trạng từ;277
garder;giữ;verbe / động từ;278
partie;phần;nom / danh từ;279
face;khuôn mặt;nom / danh từ;280
mouvement;sự chuyển động;nom / danh từ;281
fin;KẾT THÚC;nom / danh từ;282
reconnaître;nhận ra;verbe / động từ;283
quitter;rời đi;verbe / động từ;284
comment;Làm sao;adverbe / trạng từ;285
route;đường;nom / danh từ;286
manger;ăn;verbe / động từ;287
livre;sách;nom / danh từ;288
arbre;CÂY;nom / danh từ;289
courir;chạy;verbe / động từ;290
cas;trường hợp;nom / danh từ;291
huit;tám;nombre / con số;0
lorsque;khi;conjonction / liên hợp;293
mur;tường;nom / danh từ;294
ordre;đặt hàng;nom / danh từ;295
continuer;Tiếp tục;verbe / động từ;296
est;Phía đông;nom / danh từ;297
bonheur;niềm hạnh phúc;nom / danh từ;298
oublier;quên;verbe / động từ;299
descendre;xuống;verbe / động từ;300
haut;cao;adjectif / tính từ;301
intérêt;quan tâm;nom / danh từ;302
cacher;trốn;verbe / động từ;303
profond;sâu;adjectif / tính từ;304
argent;tiền bạc;nom / danh từ;305
cause;gây ra;nom / danh từ;306
poser;đặt xuống;verbe / động từ;307
autant;nhiều như vậy;adverbe / trạng từ;308
travers;bởi vì;nom / danh từ;309
grand;to lớn;nom / danh từ;310
instant;lập tức;nom / danh từ;311
façon;đường;nom / danh từ;312
d'abord;đầu tiên;adverbe / trạng từ;313
oeil;mắt;nom / danh từ;314
tirer;kéo;verbe / động từ;315
forme;hình dạng;nom / danh từ;316
présenter;để trình bày;verbe / động từ;317
ajouter;thêm vào;verbe / động từ;318
agir;hành động;verbe / động từ;319
retrouver;tìm thấy;verbe / động từ;320
chemin;con đường;nom / danh từ;321
cheveu;tóc;nom / danh từ;322
offrir;để cung cấp;verbe / động từ;323
surtout;Trên hết;adverbe / trạng từ;324
plaisir;vinh hạnh;nom / danh từ;325
suite;tiếp theo;nom / danh từ;326
apprendre;học hỏi;verbe / động từ;327
tuer;giết;verbe / động từ;328
rouge;màu đỏ;adjectif / tính từ;329
sang;máu;nom / danh từ;330
retourner;trở lại;verbe / động từ;331
rencontrer;gặp;verbe / động từ;332
sentiment;cảm giác;nom / danh từ;333
fleur;hoa;nom / danh từ;334
cependant;Tuy nhiên;adverbe / trạng từ;335
service;dịch vụ;nom / danh từ;336
envoyer;gửi;verbe / động từ;337
table;bàn;nom / danh từ;338
vite;nhanh;adverbe / trạng từ;339
paix;hòa bình;nom / danh từ;340
moyen;trung bình;nom / danh từ;341
dormir;ngủ;verbe / động từ;342
pousser;xô;verbe / động từ;343
lit;giường;nom / danh từ;344
humain;nhân loại;adjectif / tính từ;345
voiture;xe hơi;nom / danh từ;346
rappeler;nhắc lại;verbe / động từ;347
être;là;nom / danh từ;348
lire;đọc;verbe / động từ;349
général;tổng quan;adjectif / tính từ;350
nature;thiên nhiên;nom / danh từ;351
or;vàng;nom / danh từ;352
pouvoir;quyền lực;nom / danh từ;353
nouveau;mới;nom / danh từ;354
français;tiếng Pháp;adjectif / tính từ;355
joie;vui sướng;nom / danh từ;356
sept;bảy;nombre / con số;0
tard;muộn;adverbe / trạng từ;358
président;chủ tịch;nom / danh từ;359
pourtant;Chưa;adverbe / trạng từ;360
bouche;miệng;nom / danh từ;361
changer;để thay đổi;verbe / động từ;362
petit;nhỏ bé;nom / danh từ;363
essayer;để thử;verbe / động từ;364
froid;lạnh lẽo;adjectif / tính từ;365
compter;đếm;verbe / động từ;366
occuper;chiếm đóng;verbe / động từ;367
sens;giác quan;nom / danh từ;368
cri;khóc;nom / danh từ;369
espèce;giống loài;nom / danh từ;370
expliquer;giải thích;verbe / động từ;371
cheval;ngựa;nom / danh từ;372
loi;pháp luật;nom / danh từ;373
sombre;tối tăm;adjectif / tính từ;374
ci;đây;adverbe / trạng từ;375
sûr;TRÊN;adjectif / tính từ;376
ancien;cổ đại;adjectif / tính từ;377
tandis que;trong khi;conjonction / liên hợp;378
frapper;đánh;verbe / động từ;379
ministre;bộ trưởng;nom / danh từ;380
puisque;từ;conjonction / liên hợp;381
travailler;để làm việc;verbe / động từ;382
propre;sở hữu;adjectif / tính từ;383
obtenir;lấy;verbe / động từ;384
rentrer;trở lại;verbe / động từ;385
mal;sai;adverbe / trạng từ;386
pleurer;khóc;verbe / động từ;387
répéter;lặp lại;verbe / động từ;388
société;Công ty;nom / danh từ;389
parfois;Thỉnh thoảng;adverbe / trạng từ;390
politique;chính sách;nom / danh từ;391
oreille;tai;nom / danh từ;392
payer;chi trả;verbe / động từ;393
politique;chính sách;adjectif / tính từ;394
apporter;mang đến;verbe / động từ;395
fenêtre;cửa sổ;nom / danh từ;396
possible;khả thi;adjectif / tính từ;397
fortune;vận may;nom / danh từ;398
compte;tài khoản;nom / danh từ;399
champ;cánh đồng;nom / danh từ;400
manier;xử lý;nom / danh từ;401
vraiment;Thật sự;adverbe / trạng từ;402
immense;bao la;adjectif / tính từ;403
exister;hiện hữu;verbe / động từ;404
action;hoạt động;nom / danh từ;405
boire;uống;verbe / động từ;406
public;khán giả;adjectif / tính từ;407
garçon;con trai;nom / danh từ;408
pareil;Giống nhau;adjectif / tính từ;409
bleu;màu xanh da trời;adjectif / tính từ;410
exemple;ví dụ;nom / danh từ;411
sourire;nụ cười;verbe / động từ;412
couleur;màu sắc;nom / danh từ;413
coucher;ngủ;verbe / động từ;414
papier;giấy;nom / danh từ;415
mal;sai;nom / danh từ;416
fort;mạnh;adjectif / tính từ;417
bientôt;Sớm;adverbe / trạng từ;418
causer;gây ra;verbe / động từ;419
pièce;cái;nom / danh từ;420
montagne;núi;nom / danh từ;421
sol;đất;nom / danh từ;422
oeuvre;tác phẩm nghệ thuật;nom / danh từ;423
partout;khắp mọi nơi;adverbe / trạng từ;424
trente;ba mươi;nombre / con số;0
cours;khóa học;nom / danh từ;426
raconter;kể;verbe / động từ;427
serrer;để ép;verbe / động từ;428
songer;nghĩ;verbe / động từ;429
désir;sự mong muốn;nom / danh từ;430
manquer;cô;verbe / động từ;431
cour;tòa án;nom / danh từ;432
nommer;bổ nhiệm;verbe / động từ;433
bord;bờ rìa;nom / danh từ;434
douleur;nỗi đau;nom / danh từ;435
conduire;lái xe;verbe / động từ;436
salle;phòng;nom / danh từ;437
saisir;để nhập;verbe / động từ;438
premier;Đầu tiên;nom / danh từ;439
comment;Làm sao;conjonction / liên hợp;440
entier;toàn bộ;adjectif / tính từ;441
projet;dự án;nom / danh từ;442
demeurer;duy trì;verbe / động từ;443
simple;đơn giản;adjectif / tính từ;444
étude;học;nom / danh từ;445
remettre;để đặt lại;verbe / động từ;446
journal;báo;nom / danh từ;447
geste;cử chỉ;nom / danh từ;448
disparaître;biến mất;verbe / động từ;449
battre;tiết tấu;verbe / động từ;450
toucher;chạm vào;verbe / động từ;451
situation;tình huống;nom / danh từ;452
oiseau;chim;nom / danh từ;453
nécessaire;cần thiết;adjectif / tính từ;454
siècle;thế kỷ;nom / danh từ;455
apparaître;xuất hiện;verbe / động từ;456
souffrir;chịu đựng;verbe / động từ;457
million;triệu;nom / danh từ;458
prix;giá;nom / danh từ;459
groupe;ban nhạc;nom / danh từ;460
centre;trung tâm;nom / danh từ;461
malheur;bất hạnh;nom / danh từ;462
honneur;tôn kính;nom / danh từ;463
fermer;đóng;verbe / động từ;464
accepter;chấp nhận;verbe / động từ;465
garde;bảo vệ;nom / danh từ;466
mauvais;xấu;adjectif / tính từ;467
tendre;mềm;verbe / động từ;468
naître;được sinh ra;verbe / động từ;469
sauver;cứu;verbe / động từ;470
problème;vấn đề;nom / danh từ;471
larme;xé;nom / danh từ;472
avancer;tiến về phía trước;verbe / động từ;473
chien;chó;nom / danh từ;474
peau;da;nom / danh từ;475
reste;ở lại;nom / danh từ;476
traverser;để băng qua;verbe / động từ;477
nombre;con số;nom / danh từ;478
debout;đứng;adverbe / trạng từ;479
mesure;đo lường;nom / danh từ;480
social;xã hội;adjectif / tính từ;481
souvenir;ký ức;verbe / động từ;482
article;bài báo;nom / danh từ;483
vue;xem;nom / danh từ;484
couvrir;che phủ;verbe / động từ;485
âge;tuổi;nom / danh từ;486
gagner;kiếm;verbe / động từ;487
système;hệ thống;nom / danh từ;488
long;dài;nom / danh từ;489
former;hình thức;verbe / động từ;490
plaire;để làm hài lòng;verbe / động từ;491
effort;cố gắng;nom / danh từ;492
embrasser;hôn;verbe / động từ;493
rêve;mơ;nom / danh từ;494
oser;dám;verbe / động từ;495
passion;niềm đam mê;nom / danh từ;496
empêcher;để ngăn chặn;verbe / động từ;497
rapport;báo cáo;nom / danh từ;498
refuser;từ chối;verbe / động từ;499
important;quan trọng;adjectif / tính từ;500
décider;quyết định;verbe / động từ;501
produire;sản xuất;verbe / động từ;502
soldat;lính;nom / danh từ;503
lèvre;môi;nom / danh từ;504
signe;dấu hiệu;nom / danh từ;505
vérité;sự thật;nom / danh từ;506
charger;trọng tải;verbe / động từ;507
mariage;kết hôn;nom / danh từ;508
mêler;trộn;verbe / động từ;509
certain;chắc chắn;adjectif / tính từ;510
espérer;mong;verbe / động từ;511
plan;kế hoạch;nom / danh từ;512
cesser;ngưng;verbe / động từ;513
ressembler;trông giống như;verbe / động từ;514
dos;mặt sau;nom / danh từ;515
marche;đi bộ;nom / danh từ;516
souvenir;ký ức;nom / danh từ;517
dame;quý bà;nom / danh từ;518
chanter;hát;verbe / động từ;519
plutôt;thay vì;adverbe / trạng từ;520
conseil;khuyên bảo;nom / danh từ;521
sou;đồng;nom / danh từ;522
triste;buồn;adjectif / tính từ;523
coin;góc;nom / danh từ;524
jardin;vườn;nom / danh từ;525
joli;đẹp;adjectif / tính từ;526
soit;hoặc;conjonction / liên hợp;527
doigt;ngón tay;nom / danh từ;528
objet;sự vật;nom / danh từ;529
fer;sắt;nom / danh từ;530
lendemain;ngày hôm sau;nom / danh từ;531
lentement;chậm;adverbe / trạng từ;532
combien;Bao nhiêu;adverbe / trạng từ;533
approcher;tiếp cận;verbe / động từ;534
prier;cầu nguyện;verbe / động từ;535
train;xe lửa;nom / danh từ;536
papa;bố;nom / danh từ;537
différent;khác biệt;adjectif / tính từ;538
valeur;giá trị;nom / danh từ;539
jeu;trò chơi;nom / danh từ;540
échapper;bỏ trốn;verbe / động từ;541
glisser;cầu trượt;verbe / động từ;542
secret;bí mật;nom / danh từ;543
haut;cao;nom / danh từ;544
vieillard;ông già;nom / danh từ;545
briller;chiếu sáng;verbe / động từ;546
docteur;bác sĩ;nom / danh từ;547
brûler;cháy;verbe / động từ;548
terrible;kinh khủng;adjectif / tính từ;549
placer;địa điểm;verbe / động từ;550
ton;của bạn;nom / danh từ;551
jambe;chân;nom / danh từ;552
juger;phán xét;verbe / động từ;553
suffire;đủ;verbe / động từ;554
endroit;địa điểm;nom / danh từ;555
minute;phút;nom / danh từ;556
atteindre;với tới;verbe / động từ;557
nuage;đám mây;nom / danh từ;558
présence;sự hiện diện;nom / danh từ;559
fou;điên rồ;adjectif / tính từ;560
épaule;vai;nom / danh từ;561
léger;ánh sáng;adjectif / tính từ;562
feuille;lá cây;nom / danh từ;563
liberté;tự do;nom / danh từ;564
journée;ban ngày;nom / danh từ;565
libre;miễn phí;adjectif / tính từ;566
annoncer;thông báo;verbe / động từ;567
avenir;tương lai;nom / danh từ;568
sourire;nụ cười;nom / danh từ;569
hier;Hôm qua;adverbe / trạng từ;570
résultat;kết quả;nom / danh từ;571
élever;nâng lên;verbe / động từ;572
acheter;mua;verbe / động từ;573
mener;tiến hành;verbe / động từ;574
préparer;chuẩn bị;verbe / động từ;575
pourquoi;Tại sao;adverbe / trạng từ;576
hôtel;khách sạn;nom / danh từ;577
semaine;tuần;nom / danh từ;578
forêt;rừng;nom / danh từ;579
assurer;đảm bảo;verbe / động từ;580
pur;nguyên chất;adjectif / tính từ;581
qualité;chất lượng;nom / danh từ;582
prince;hoàng tử;nom / danh từ;583
bien;TỐT;nom / danh từ;584
également;Mà còn;adverbe / trạng từ;585
deviner;đoán;verbe / động từ;586
médecin;bác sĩ;nom / danh từ;587
considérer;coi như;verbe / động từ;588
volonté;sẽ;nom / danh từ;589
seigneur;chúa tể;nom / danh từ;590
quelque;một số;adverbe / trạng từ;591
vert;Màu xanh lá;adjectif / tính từ;592
art;nghệ thuật;nom / danh từ;593
moindre;ít hơn;adjectif / tính từ;594
demain;Ngày mai;adverbe / trạng từ;595
quarante;bốn mươi;nombre / con số;0
cinquante;năm mươi;nombre / con số;0
foule;đám đông;nom / danh từ;598
appartenir;thuộc về;verbe / động từ;599
aussitôt;ngay lập tức;adverbe / trạng từ;600
ligne;đường kẻ;nom / danh từ;601
représenter;đại diện;verbe / động từ;602
tromper;lừa dối;verbe / động từ;603
intérieur;nội thất;nom / danh từ;604
vendre;bán;verbe / động từ;605
beauté;sắc đẹp;nom / danh từ;606
riche;giàu có;adjectif / tính từ;607
craindre;sợ hãi;verbe / động từ;608
étrange;số lẻ;adjectif / tính từ;609
emporter;mua mang về;verbe / động từ;610
ensuite;Kế tiếp;adverbe / trạng từ;611
soin;chăm sóc;nom / danh từ;612
naturel;tự nhiên;adjectif / tính từ;613
hasard;cơ hội;nom / danh từ;614
puis;Sau đó;adverbe / trạng từ;615
condition;tình trạng;nom / danh từ;616
quinze;mười lăm;nombre / con số;0
classe;lớp học;nom / danh từ;618
voyage;hành trình;nom / danh từ;619
expression;sự biểu lộ;nom / danh từ;620
présent;đây;nom / danh từ;621
caractère;tính cách;nom / danh từ;622
ensemble;cùng nhau;adverbe / trạng từ;623
attention;chú ý;nom / danh từ;624
gris;xám;adjectif / tính từ;625
exprimer;thể hiện;verbe / động từ;626
or;vàng;conjonction / liên hợp;627
rouler;lăn;verbe / động từ;628
faible;yếu đuối;adjectif / tính từ;629
posséder;sở hữu;verbe / động từ;630
scène;bối cảnh;nom / danh từ;631
difficile;khó;adjectif / tính từ;632
français;tiếng Pháp;nom / danh từ;633
réveiller;thức dậy;verbe / động từ;634
foi;sự tin tưởng;nom / danh từ;635
aider;giúp đỡ;verbe / động từ;636
découvrir;phát hiện;verbe / động từ;637
odeur;mùi;nom / danh từ;638
choisir;chọn;verbe / động từ;639
musique;âm nhạc;nom / danh từ;640
oncle;chú;nom / danh từ;641
événement;sự kiện;nom / danh từ;642
prononcer;phát âm;verbe / động từ;643
village;làng bản;nom / danh từ;644
taire;im lặng;verbe / động từ;645
envie;ghen tỵ;nom / danh từ;646
midi;buổi trưa;nom / danh từ;647
herbe;cỏ;nom / danh từ;648
vieux;cũ;nom / danh từ;649
pluie;cơn mưa;nom / danh từ;650
près;đóng;adverbe / trạng từ;651
bas;xuống;nom / danh từ;652
rêver;mơ;verbe / động từ;653
appuyer;nhấn;verbe / động từ;654
étendre;mở rộng;verbe / động từ;655
après;Sau đó;adverbe / trạng từ;656
général;tổng quan;nom / danh từ;657
lutte;đấu tranh;nom / danh từ;658
trembler;run rẩy;verbe / động từ;659
réponse;trả lời;nom / danh từ;660
grâce;duyên dáng;nom / danh từ;661
espace;không gian;nom / danh từ;662
habitude;thói quen;nom / danh từ;663
défendre;phòng vệ;verbe / động từ;664
existence;sự tồn tại;nom / danh từ;665
mémoire;ký ức;nom / danh từ;666
créer;tạo nên;verbe / động từ;667
grave;nghiêm trọng;adjectif / tính từ;668
maintenir;duy trì;verbe / động từ;669
verre;thủy tinh;nom / danh từ;670
campagne;chiến dịch;nom / danh từ;671
juge;phán xét;nom / danh từ;672
genou;đầu gối;nom / danh từ;673
impossible;không thể nào;adjectif / tính từ;674
fête;buổi tiệc;nom / danh từ;675
indiquer;biểu thị;verbe / động từ;676
prêt;sẵn sàng;adjectif / tính từ;677
promettre;hứa;verbe / động từ;678
relever;để chỉ ra;verbe / động từ;679
abandonner;bỏ cuộc;verbe / động từ;680
ignorer;phớt lờ;verbe / động từ;681
large;rộng;adjectif / tính từ;682
parent;cha mẹ;nom / danh từ;683
colère;sự tức giận;nom / danh từ;684
étoile;ngôi sao;nom / danh từ;685
devoir;nhiệm vụ;nom / danh từ;686
conscience;nhận thức;nom / danh từ;687
accompagner;để kèm theo;verbe / động từ;688
immobile;bất động;adjectif / tính từ;689
adresser;Địa chỉ;verbe / động từ;690
observer;quan sát;verbe / động từ;691
juste;chỉ;adjectif / tính từ;692
puissance;quyền lực;nom / danh từ;693
matière;vấn đề;nom / danh từ;694
sable;cát;nom / danh từ;695
séparer;chia;verbe / động từ;696
marier;kết hôn;verbe / động từ;697
prévoir;mong đợi;verbe / động từ;698
vivant;còn sống;adjectif / tính từ;699
accord;hiệp định;nom / danh từ;700
hiver;mùa đông;nom / danh từ;701
retour;mặt sau;nom / danh từ;702
autrefois;trước đây;adverbe / trạng từ;703
genre;giới tính;nom / danh từ;704
vif;sống động;adjectif / tính từ;705
amener;để mang đến;verbe / động từ;706
obliger;bắt buộc;verbe / động từ;707
acte;hành động;nom / danh từ;708
image;hình ảnh;nom / danh từ;709
horizon;chân trời;nom / danh từ;710
éclairer;chiếu sáng;verbe / động từ;711
poursuivre;theo đuổi;verbe / động từ;712
